PartitionKey,RowKey,Timestamp,Month,Month@type,PolicyProvider,PolicyProvider@type,PolicyNumber,PolicyNumber@type,PolicyActivationDate,PolicyActivationDate@type,PolicyProviderStatus,PolicyProviderStatus@type,CreationDate,CreationDate@type
29741facc88d232d_f83f579c2a9846eaac65c546c706cd67,2018-01,2018-01-31T14:12:30.661Z,2018-01,Edm.String,Liberty,Edm.String,,Edm.String,2018/01/31T22:12:22.PM,Edm.String,NEW,Edm.String,2018/01/31T22:12:22.PM,Edm.String
5eb83a79748cc6da_f83f579c2a9846eaac65c546c706cd67,2017-02,2017-02-24T09:30:40.771Z,2017-02,Edm.String,Liberty,Edm.String,A4S0000013,Edm.String,2017/02/24T17:30:30.PM,Edm.String,ACTIVE,Edm.String,2017/02/24T17:30:30.PM,Edm.String
5fdf0f69c41b9f4a_f83f579c2a9846eaac65c546c706cd67,2017-04,2017-04-06T09:39:17.245Z,2017-04,Edm.String,Liberty,Edm.String,A4S0000011,Edm.String,2017/04/06T17:36:27.PM,Edm.String,ACTIVE_RENEWED,Edm.String,2017/04/06T17:36:27.PM,Edm.String
5fdf0f69c41b9f4a_f83f579c2a9846eaac65c546c706cd67,2017-05,2017-05-22T13:30:11.078Z,2017-05,Edm.String,Liberty,Edm.String,A4S0000011,Edm.String,2017/05/22T21:30:02.PM,Edm.String,ACTIVE_RENEWED,Edm.String,2017/05/22T21:30:02.PM,Edm.String
5fdf0f69c41b9f4a_f83f579c2a9846eaac65c546c706cd67,2017-06,2017-06-08T09:11:59.709Z,2017-06,Edm.String,Liberty,Edm.String,A4S0000011,Edm.String,2017/06/08T17:11:34.PM,Edm.String,ACTIVE_RENEWED,Edm.String,2017/06/08T17:11:34.PM,Edm.String
5fdf0f69c41b9f4a_f83f579c2a9846eaac65c546c706cd67,2017-07,2017-07-10T16:01:58.701Z,2017-07,Edm.String,Liberty,Edm.String,,Edm.String,2017/07/11T00:00:19.AM,Edm.String,NEW,Edm.String,2017/07/11T00:00:19.AM,Edm.String
5fdf0f69c41b9f4a_f83f579c2a9846eaac65c546c706cd67,2017-08,2017-08-10T08:16:05.934Z,2017-08,Edm.String,Liberty,Edm.String,A4S0000011,Edm.String,2017/08/10T16:15:16.PM,Edm.String,ACTIVE_RENEWED,Edm.String,2017/08/10T16:15:16.PM,Edm.String
622fce56976f92a3_f83f579c2a9846eaac65c546c706cd67,2017-01,2017-01-29T13:20:08.349Z,2017-01,Edm.String,Liberty,Edm.String,A4S0000011,Edm.String,2017/01/29T21:18:07.PM,Edm.String,ACTIVE,Edm.String,2017/01/29T21:18:07.PM,Edm.String
622fce56976f92a3_f83f579c2a9846eaac65c546c706cd67,2017-02,2017-02-09T06:23:54.413Z,2017-02,Edm.String,Liberty,Edm.String,A4S0000011,Edm.String,2017/02/09T14:22:42.PM,Edm.String,ACTIVE_RENEWED,Edm.String,2017/02/09T14:22:42.PM,Edm.String
672d693adf0ff5df_f83f579c2a9846eaac65c546c706cd67,2018-02,2018-02-13T04:10:11.504Z,2018-02,Edm.String,Liberty,Edm.String,A4S0000003,Edm.String,2018/02/13T12:09:16.PM,Edm.String,ACTIVE_RENEWED,Edm.String,2018/02/13T12:09:16.PM,Edm.String
72b191b8e7462217_f83f579c2a9846eaac65c546c706cd67,2017-02,2017-02-24T09:30:30.049Z,2017-02,Edm.String,Liberty,Edm.String,,Edm.String,2017/02/24T17:30:28.PM,Edm.String,NEW,Edm.String,2017/02/24T17:30:28.PM,Edm.String
72b191b8e7462217_f83f579c2a9846eaac65c546c706cd67,2017-05,2017-05-22T13:30:08.732Z,2017-05,Edm.String,Liberty,Edm.String,A4S0000014,Edm.String,2017/05/22T21:30:00.PM,Edm.String,ACTIVE,Edm.String,2017/05/22T21:30:00.PM,Edm.String
72b191b8e7462217_f83f579c2a9846eaac65c546c706cd67,2017-06,2017-06-19T07:24:09.387Z,2017-06,Edm.String,Liberty,Edm.String,A4S0000014,Edm.String,2017/06/19T15:22:16.PM,Edm.String,ACTIVE_RENEWED,Edm.String,2017/06/19T15:22:16.PM,Edm.String
72b191b8e7462217_f83f579c2a9846eaac65c546c706cd67,2017-08,2017-08-24T11:02:09.153Z,2017-08,Edm.String,Liberty,Edm.String,,Edm.String,2017/08/24T19:01:50.PM,Edm.String,NEW,Edm.String,2017/08/24T19:01:50.PM,Edm.String
72b191b8e7462217_f83f579c2a9846eaac65c546c706cd67,2018-01,2018-01-31T14:15:17.510Z,2018-01,Edm.String,Liberty,Edm.String,,Edm.String,2018/01/31T22:15:10.PM,Edm.String,NEW,Edm.String,2018/01/31T22:15:10.PM,Edm.String
7423726838aee45_f83f579c2a9846eaac65c546c706cd67,2016-09,2016-09-29T11:20:30.633Z,2016-09,Edm.String,Liberty,Edm.String,A4S0000004,Edm.String,2016-09-29T13:20:12.PM,Edm.String,ACTIVE,Edm.String,2016-09-29T13:20:12.PM,Edm.String
7423726838aee45_f83f579c2a9846eaac65c546c706cd67,2016-10,2016-10-25T08:41:57.050Z,2016-10,Edm.String,Liberty,Edm.String,A4S0000004,Edm.String,2016-10-25T10:41:48.AM,Edm.String,ACTIVE_RENEWED,Edm.String,2016-10-25T10:41:48.AM,Edm.String
9db8e9d22d3b09f6_f83f579c2a9846eaac65c546c706cd67,2017-06,2017-06-28T06:58:35.048Z,2017-06,Edm.String,Liberty,Edm.String,A4S0000017,Edm.String,2017/06/28T14:58:11.PM,Edm.String,ACTIVE,Edm.String,2017/06/28T14:58:11.PM,Edm.String
9db8e9d22d3b09f6_f83f579c2a9846eaac65c546c706cd67,2017-07,2017-07-12T13:11:14.022Z,2017-07,Edm.String,Liberty,Edm.String,A4S0000017,Edm.String,2017/07/12T21:10:56.PM,Edm.String,ACTIVE_RENEWED,Edm.String,2017/07/12T21:10:56.PM,Edm.String
9db8e9d22d3b09f6_f83f579c2a9846eaac65c546c706cd67,2017-08,2017-08-18T10:48:54.765Z,2017-08,Edm.String,Liberty,Edm.String,A4S0000017,Edm.String,2017/08/18T18:48:25.PM,Edm.String,ACTIVE_RENEWED,Edm.String,2017/08/18T18:48:25.PM,Edm.String
9ec39574bd8b25c_f83f579c2a9846eaac65c546c706cd67,2018-07,2018-07-20T04:25:29.339Z,2018-07,Edm.String,Liberty,Edm.String,,Edm.String,2018/07/20T09:55:26.AM,Edm.String,NEW,Edm.String,2018/07/20T09:55:24.AM,Edm.String
baeab7e74015b182_f83f579c2a9846eaac65c546c706cd67,2017-08,2017-08-18T10:48:55.811Z,2017-08,Edm.String,Liberty,Edm.String,A4S0000003,Edm.String,2017/08/18T18:48:26.PM,Edm.String,ACTIVE_RENEWED,Edm.String,2017/08/18T18:48:26.PM,Edm.String
bff620558336a892_f83f579c2a9846eaac65c546c706cd67,2016-09,2016-09-23T06:23:20.864Z,2016-09,Edm.String,Liberty,Edm.String,A4S0000003,Edm.String,2016-09-23T08:23:10.AM,Edm.String,ACTIVE,Edm.String,2016-09-23T08:23:10.AM,Edm.String
bff620558336a892_f83f579c2a9846eaac65c546c706cd67,2016-10,2016-10-21T15:39:51.739Z,2016-10,Edm.String,Liberty,Edm.String,A4S0000003,Edm.String,2016-10-21T17:39:37.PM,Edm.String,ACTIVE_RENEWED,Edm.String,2016-10-21T17:39:37.PM,Edm.String
bff620558336a892_f83f579c2a9846eaac65c546c706cd67,2016-11,2016-11-28T19:01:35.014Z,2016-11,Edm.String,Liberty,Edm.String,A4S0000003,Edm.String,2016/11/29T02:55:16.AM,Edm.String,ACTIVE_RENEWED,Edm.String,2016/11/29T02:55:16.AM,Edm.String
bff620558336a892_f83f579c2a9846eaac65c546c706cd67,2016-12,2016-12-21T05:18:11.114Z,2016-12,Edm.String,Liberty,Edm.String,A4S0000003,Edm.String,2016-12-21T07:17:40.AM,Edm.String,ACTIVE_RENEWED,Edm.String,2016-12-21T07:17:36.AM,Edm.String
bff620558336a892_f83f579c2a9846eaac65c546c706cd67,2017-01,2017-01-29T13:20:08.349Z,2017-01,Edm.String,Liberty,Edm.String,A4S0000003,Edm.String,2017/01/29T21:18:08.PM,Edm.String,ACTIVE_RENEWED,Edm.String,2017/01/29T21:18:08.PM,Edm.String
bff620558336a892_f83f579c2a9846eaac65c546c706cd67,2017-02,2017-02-15T19:13:07.848Z,2017-02,Edm.String,Liberty,Edm.String,A4S0000003,Edm.String,2017/02/16T03:12:50.AM,Edm.String,ACTIVE_RENEWED,Edm.String,2017/02/16T03:12:50.AM,Edm.String
bff620558336a892_f83f579c2a9846eaac65c546c706cd67,2017-05,2017-05-22T13:30:08.732Z,2017-05,Edm.String,Liberty,Edm.String,A4S0000003,Edm.String,2017/05/22T21:30:00.PM,Edm.String,ACTIVE_RENEWED,Edm.String,2017/05/22T21:30:00.PM,Edm.String
bff620558336a892_f83f579c2a9846eaac65c546c706cd67,2017-06,2017-06-26T09:41:53.153Z,2017-06,Edm.String,Liberty,Edm.String,A4S0000003,Edm.String,2017/06/26T17:40:43.PM,Edm.String,ACTIVE_RENEWED,Edm.String,2017/06/26T17:40:43.PM,Edm.String
bff620558336a892_f83f579c2a9846eaac65c546c706cd67,2017-07,2017-07-25T08:29:22.709Z,2017-07,Edm.String,Liberty,Edm.String,A4S0000003,Edm.String,2017/07/25T16:28:29.PM,Edm.String,ACTIVE_RENEWED,Edm.String,2017/07/25T16:28:29.PM,Edm.String
c97ca18e38cd1968_f83f579c2a9846eaac65c546c706cd67,2016-09,2016-09-09T11:22:35.996Z,2016-09,Edm.String,Liberty,Edm.String,A4S0000001,Edm.String,2016-09-09T13:20:43.PM,Edm.String,ACTIVE,Edm.String,2016-09-09T13:20:40.PM,Edm.String
c97ca18e38cd1968_f83f579c2a9846eaac65c546c706cd67,2016-10,2016-10-10T16:23:09.988Z,2016-10,Edm.String,Liberty,Edm.String,A4S0000005,Edm.String,2016-10-10T18:21:26.PM,Edm.String,ACTIVE,Edm.String,2016-10-10T18:21:18.PM,Edm.String
c97ca18e38cd1968_f83f579c2a9846eaac65c546c706cd67,2016-12,2016-12-21T05:18:22.614Z,2016-12,Edm.String,Liberty,Edm.String,A4S0000007,Edm.String,2016-12-21T07:18:23.AM,Edm.String,ACTIVE,Edm.String,2016-12-21T07:18:23.AM,Edm.String
c97ca18e38cd1968_f83f579c2a9846eaac65c546c706cd67,2017-01,2017-01-13T15:09:29.569Z,2017-01,Edm.String,Liberty,Edm.String,A4S0000010,Edm.String,2017/01/13T23:08:46.PM,Edm.String,ACTIVE,Edm.String,2017/01/13T23:08:46.PM,Edm.String
c97ca18e38cd1968_f83f579c2a9846eaac65c546c706cd67,2017-02,2017-02-15T19:13:20.578Z,2017-02,Edm.String,Liberty,Edm.String,A4S0000012,Edm.String,2017/02/16T03:13:09.AM,Edm.String,ACTIVE,Edm.String,2017/02/16T03:13:09.AM,Edm.String
c97ca18e38cd1968_f83f579c2a9846eaac65c546c706cd67,2017-05,2017-05-22T13:30:11.146Z,2017-05,Edm.String,Liberty,Edm.String,A4S0000015,Edm.String,2017/05/22T21:30:06.PM,Edm.String,ACTIVE,Edm.String,2017/05/22T21:30:06.PM,Edm.String
c97ca18e38cd1968_f83f579c2a9846eaac65c546c706cd67,2017-06,2017-06-19T07:24:09.445Z,2017-06,Edm.String,Liberty,Edm.String,A4S0000016,Edm.String,2017/06/19T15:22:16.PM,Edm.String,ACTIVE,Edm.String,2017/06/19T15:22:16.PM,Edm.String
ce2b0d2a2700f064_f83f579c2a9846eaac65c546c706cd67,2017-01,2017-01-09T19:25:12.343Z,2017-01,Edm.String,Liberty,Edm.String,A4S0000008,Edm.String,2017/01/10T03:24:35.AM,Edm.String,ACTIVE,Edm.String,2017/01/10T03:24:35.AM,Edm.String
ce2b0d2a2700f064_f83f579c2a9846eaac65c546c706cd67,2017-02,2017-02-15T19:13:07.661Z,2017-02,Edm.String,Liberty,Edm.String,A4S0000008,Edm.String,2017/02/16T03:12:48.AM,Edm.String,ACTIVE_RENEWED,Edm.String,2017/02/16T03:12:48.AM,Edm.String
ce491885ab29c838_f83f579c2a9846eaac65c546c706cd67,2017-01,2017-01-10T13:31:27.240Z,2017-01,Edm.String,Liberty,Edm.String,A4S0000009,Edm.String,2017/01/10T21:31:17.PM,Edm.String,ACTIVE,Edm.String,2017/01/10T21:31:17.PM,Edm.String
ce491885ab29c838_f83f579c2a9846eaac65c546c706cd67,2017-02,2017-02-15T19:13:20.352Z,2017-02,Edm.String,Liberty,Edm.String,A4S0000009,Edm.String,2017/02/16T03:13:07.AM,Edm.String,ACTIVE_RENEWED,Edm.String,2017/02/16T03:13:07.AM,Edm.String
ce491885ab29c838_f83f579c2a9846eaac65c546c706cd67,2017-05,2017-05-22T13:30:18.002Z,2017-05,Edm.String,Liberty,Edm.String,A4S0000009,Edm.String,2017/05/22T21:30:13.PM,Edm.String,ACTIVE_RENEWED,Edm.String,2017/05/22T21:30:13.PM,Edm.String
ce491885ab29c838_f83f579c2a9846eaac65c546c706cd67,2017-06,2017-06-11T18:23:02.927Z,2017-06,Edm.String,Liberty,Edm.String,A4S0000009,Edm.String,2017/06/12T02:22:04.AM,Edm.String,ACTIVE_RENEWED,Edm.String,2017/06/12T02:22:04.AM,Edm.String
ce491885ab29c838_f83f579c2a9846eaac65c546c706cd67,2017-07,2017-07-25T08:29:23.873Z,2017-07,Edm.String,Liberty,Edm.String,A4S0000009,Edm.String,2017/07/25T16:28:29.PM,Edm.String,ACTIVE_RENEWED,Edm.String,2017/07/25T16:28:29.PM,Edm.String
ce491885ab29c838_f83f579c2a9846eaac65c546c706cd67,2017-08,2017-08-18T10:48:57.178Z,2017-08,Edm.String,Liberty,Edm.String,A4S0000009,Edm.String,2017/08/18T18:48:26.PM,Edm.String,ACTIVE_RENEWED,Edm.String,2017/08/18T18:48:26.PM,Edm.String
e9ab8424715e18cd_f83f579c2a9846eaac65c546c706cd67,2016-12,2016-12-21T05:18:11.843Z,2016-12,Edm.String,Liberty,Edm.String,A4S0000006,Edm.String,2016-12-21T07:17:40.AM,Edm.String,ACTIVE,Edm.String,2016-12-21T07:17:40.AM,Edm.String
e9ab8424715e18cd_f83f579c2a9846eaac65c546c706cd67,2017-01,2017-01-29T13:20:07.083Z,2017-01,Edm.String,Liberty,Edm.String,A4S0000006,Edm.String,2017/01/29T21:18:08.PM,Edm.String,ACTIVE_RENEWED,Edm.String,2017/01/29T21:18:08.PM,Edm.String
ed6307e1fdb11e8f_f83f579c2a9846eaac65c546c706cd67,2016-09,2016-09-13T08:02:05.623Z,2016-09,Edm.String,Liberty,Edm.String,A4S0000002,Edm.String,2016-09-13T10:01:19.AM,Edm.String,ACTIVE,Edm.String,2016-09-13T10:01:17.AM,Edm.String
ed6307e1fdb11e8f_f83f579c2a9846eaac65c546c706cd67,2016-10,2016-10-10T16:23:07.141Z,2016-10,Edm.String,Liberty,Edm.String,A4S0000002,Edm.String,2016-10-10T18:21:18.PM,Edm.String,ACTIVE_RENEWED,Edm.String,2016-10-10T18:21:16.PM,Edm.String
ed6307e1fdb11e8f_f83f579c2a9846eaac65c546c706cd67,2016-11,2016-11-21T18:51:21.241Z,2016-11,Edm.String,Liberty,Edm.String,A4S0000002,Edm.String,2016-11-21T20:51:14.PM,Edm.String,ACTIVE_RENEWED,Edm.String,2016-11-21T20:51:14.PM,Edm.String
ed6307e1fdb11e8f_f83f579c2a9846eaac65c546c706cd67,2016-12,2016-12-21T05:18:09.793Z,2016-12,Edm.String,Liberty,Edm.String,A4S0000002,Edm.String,2016-12-21T07:17:40.AM,Edm.String,ACTIVE_RENEWED,Edm.String,2016-12-21T07:17:40.AM,Edm.String
ed6307e1fdb11e8f_f83f579c2a9846eaac65c546c706cd67,2017-01,2017-01-10T19:40:44.125Z,2017-01,Edm.String,Liberty,Edm.String,A4S0000002,Edm.String,2017/01/11T03:40:24.AM,Edm.String,ACTIVE_RENEWED,Edm.String,2017/01/11T03:40:24.AM,Edm.String
ed6307e1fdb11e8f_f83f579c2a9846eaac65c546c706cd67,2017-02,2017-02-09T06:23:56.650Z,2017-02,Edm.String,Liberty,Edm.String,A4S0000002,Edm.String,2017/02/09T14:22:43.PM,Edm.String,ACTIVE_RENEWED,Edm.String,2017/02/09T14:22:43.PM,Edm.String
