PartitionKey,RowKey,Timestamp,CreationDate,CreationDate@type,Expiry,Expiry@type,Life,Life@type,Month,Month@type,Number,Number@type,Progress,Progress@type,Status,Status@type
102815873e91302e_f83f579c2a9846eaac65c546c706cd67,2016-12,2016-12-31T23:37:43.771Z,12/20/2016 10:33:43 AM,Edm.String,Not Yet Available,Edm.String,Not Yet Available,Edm.String,2016-12,Edm.String,Not Yet Available,Edm.String,0.40,Edm.String,Not Yet Available,Edm.String
102815873e91302e_f83f579c2a9846eaac65c546c706cd67,2017-01,2017-01-31T23:47:41.456Z,1/1/2017 12:37:45 AM,Edm.String,Not Yet Available,Edm.String,Not Yet Available,Edm.String,2017-01,Edm.String,Not Yet Available,Edm.String,1.60,Edm.String,Not Yet Available,Edm.String
102815873e91302e_f83f579c2a9846eaac65c546c706cd67,2017-02,2017-02-28T23:55:29.861Z,2/1/2017 12:47:38 AM,Edm.String,Not Yet Available,Edm.String,Not Yet Available,Edm.String,2017-02,Edm.String,Not Yet Available,Edm.String,2.40,Edm.String,Not Yet Available,Edm.String
102815873e91302e_f83f579c2a9846eaac65c546c706cd67,2017-03,2017-03-31T23:03:41.036Z,3/1/2017 12:55:37 AM,Edm.String,Not Yet Available,Edm.String,Not Yet Available,Edm.String,2017-03,Edm.String,Not Yet Available,Edm.String,6.00,Edm.String,Not Yet Available,Edm.String
102815873e91302e_f83f579c2a9846eaac65c546c706cd67,2017-04,2017-04-30T23:12:36.010Z,4/1/2017 12:03:39 AM,Edm.String,Not Yet Available,Edm.String,Not Yet Available,Edm.String,2017-04,Edm.String,Not Yet Available,Edm.String,2.40,Edm.String,Not Yet Available,Edm.String
102815873e91302e_f83f579c2a9846eaac65c546c706cd67,2017-05,2017-05-31T23:20:44.881Z,5/1/2017 12:12:45 AM,Edm.String,Not Yet Available,Edm.String,Not Yet Available,Edm.String,2017-05,Edm.String,Not Yet Available,Edm.String,2.00,Edm.String,Not Yet Available,Edm.String
102815873e91302e_f83f579c2a9846eaac65c546c706cd67,2017-06,2017-06-30T23:32:54.962Z,6/1/2017 12:20:47 AM,Edm.String,Not Yet Available,Edm.String,Not Yet Available,Edm.String,2017-06,Edm.String,Not Yet Available,Edm.String,4.80,Edm.String,Not Yet Available,Edm.String
102815873e91302e_f83f579c2a9846eaac65c546c706cd67,2017-07,2017-07-31T23:42:58.721Z,7/1/2017 12:32:55 AM,Edm.String,Not Yet Available,Edm.String,Not Yet Available,Edm.String,2017-07,Edm.String,Not Yet Available,Edm.String,5.60,Edm.String,Not Yet Available,Edm.String
102815873e91302e_f83f579c2a9846eaac65c546c706cd67,2017-08,2017-08-31T23:53:10.809Z,8/1/2017 12:42:57 AM,Edm.String,Not Yet Available,Edm.String,Not Yet Available,Edm.String,2017-08,Edm.String,Not Yet Available,Edm.String,2.00,Edm.String,Not Yet Available,Edm.String
102815873e91302e_f83f579c2a9846eaac65c546c706cd67,2017-09,2017-09-30T23:01:06.643Z,9/1/2017 12:53:16 AM,Edm.String,Not Yet Available,Edm.String,Not Yet Available,Edm.String,2017-09,Edm.String,Not Yet Available,Edm.String,0.00,Edm.String,Not Yet Available,Edm.String
