PartitionKey,RowKey,Timestamp,ContentId,ContentId@type,Content_ActionURL,Content_ActionURL@type,Content_B64URL,Content_B64URL@type,Content_RawURL,Content_RawURL@type,CreationDate,CreationDate@type,LastUpdate,LastUpdate@type
0415030cedc73dad_f83f579c2a9846eaac65c546c706cd67|264b4412-2068-435e-ab24-8e4fecc8f949,UserNames|Advert1,2017-06-29T15:41:35.133Z,UserNames|Advert1,Edm.String,GOOGLE_MOBIHUNTER,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,2017-06-29T15:41:34.877Z,Edm.DateTime,2017-06-29T15:41:34.877Z,Edm.DateTime
0415030cedc73dad_f83f579c2a9846eaac65c546c706cd67|a226606e-90ef-4dc7-9ce3-ded1330e1c21,UserNames|Advert1,2017-06-29T15:41:32.156Z,UserNames|Advert1,Edm.String,GOOGLE_MOBIHUNTER,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,2017-06-29T15:41:31.656Z,Edm.DateTime,2017-06-29T15:41:31.656Z,Edm.DateTime
069289bdf552c586_f83f579c2a9846eaac65c546c706cd67|6b846ac5-6071-4525-b794-77f974b30d11,UserNames|Advert1,2017-06-29T16:51:16.013Z,UserNames|Advert1,Edm.String,GOOGLE_MOBIHUNTER,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,2017-06-29T16:51:16.119Z,Edm.DateTime,2017-06-29T16:51:16.119Z,Edm.DateTime
069289bdf552c586_f83f579c2a9846eaac65c546c706cd67|78849d0a-f755-42a2-849f-47e7a479fa14,UserNames|Advert1,2017-06-29T16:51:06.152Z,UserNames|Advert1,Edm.String,GOOGLE_MOBIHUNTER,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,2017-06-29T16:51:05.450Z,Edm.DateTime,2017-06-29T16:51:05.450Z,Edm.DateTime
102815873e91302e_f83f579c2a9846eaac65c546c706cd67|ffb25bd0-9f2d-4883-83ae-445157556587,UserNames|Advert1,2016-12-20T06:54:19.161Z,UserNames|Advert1,Edm.String,GOOGLE_MOBIHUNTER,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,2016-12-20T06:54:20.338Z,Edm.DateTime,2016-12-20T06:54:20.338Z,Edm.DateTime
10b7b23fc6e81484_f83f579c2a9846eaac65c546c706cd67|25a01806-a309-43b7-bd92-47533db9497c,UserNames|Advert1,2016-10-23T08:44:39.860Z,UserNames|Advert1,Edm.String,GOOGLE_MOBIHUNTER,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,2016-10-23T08:44:40.016Z,Edm.DateTime,2016-10-23T08:44:40.016Z,Edm.DateTime
10b7b23fc6e81484_f83f579c2a9846eaac65c546c706cd67|87e8b9d8-9f4a-4ab2-9e8a-75441fd4516c,UserNames|Advert1,2016-10-21T15:38:29.045Z,UserNames|Advert1,Edm.String,GOOGLE_MOBIHUNTER,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,2016-10-21T15:38:30.374Z,Edm.DateTime,2016-10-21T15:38:30.374Z,Edm.DateTime
10b7b23fc6e81484_f83f579c2a9846eaac65c546c706cd67|c68a6bba-d5b1-4444-b4d9-79a4dc442a9c,UserNames|Advert1,2016-10-21T15:39:23.229Z,UserNames|Advert1,Edm.String,GOOGLE_MOBIHUNTER,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,2016-10-21T15:39:23.694Z,Edm.DateTime,2016-10-21T15:39:23.694Z,Edm.DateTime
110f6b0fe69c666b_f83f579c2a9846eaac65c546c706cd67|401d004b-cc5f-4ecd-9d90-82b02dd4172c,UserNames|Advert1,2017-02-10T06:41:34.338Z,UserNames|Advert1,Edm.String,GOOGLE_MOBIHUNTER,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,2017-02-10T06:41:33.750Z,Edm.DateTime,2017-02-10T06:41:33.750Z,Edm.DateTime
110f6b0fe69c666b_f83f579c2a9846eaac65c546c706cd67|8261ea72-6b30-4807-8464-03bfe4f1874a,UserNames|Advert1,2017-02-09T15:07:12.589Z,UserNames|Advert1,Edm.String,GOOGLE_MOBIHUNTER,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,2017-02-09T15:07:12.919Z,Edm.DateTime,2017-02-09T15:07:12.919Z,Edm.DateTime
