PartitionKey,RowKey,Timestamp,RequestId,RequestId@type,BatchId,BatchId@type,ContentList,ContentList@type,BatchStatus,BatchStatus@type,CreationDate,CreationDate@type,LastUpdate,LastUpdate@type
0415030cedc73dad_f83f579c2a9846eaac65c546c706cd67|63ec8177-c8bc-42e0-ac81-626489aa78b0,264b4412-2068-435e-ab24-8e4fecc8f949,2017-06-29T15:41:35.336Z,63ec8177-c8bc-42e0-ac81-626489aa78b0,Edm.String,264b4412-2068-435e-ab24-8e4fecc8f949,Edm.String,UserNames|Advert1;,Edm.String,2,Edm.String,2017-06-29T15:41:34.877Z,Edm.DateTime,2017-06-29T15:41:34.877Z,Edm.DateTime
0415030cedc73dad_f83f579c2a9846eaac65c546c706cd67|750beb45-7fe9-4f5d-9df8-ad96c7ace1c1,a226606e-90ef-4dc7-9ce3-ded1330e1c21,2017-06-29T15:41:32.408Z,750beb45-7fe9-4f5d-9df8-ad96c7ace1c1,Edm.String,a226606e-90ef-4dc7-9ce3-ded1330e1c21,Edm.String,UserNames|Advert1;,Edm.String,2,Edm.String,2017-06-29T15:41:31.656Z,Edm.DateTime,2017-06-29T15:41:31.656Z,Edm.DateTime
069289bdf552c586_f83f579c2a9846eaac65c546c706cd67|adbc1469-b25a-48b1-8a52-a448bc001320,78849d0a-f755-42a2-849f-47e7a479fa14,2017-06-29T16:51:05.650Z,adbc1469-b25a-48b1-8a52-a448bc001320,Edm.String,78849d0a-f755-42a2-849f-47e7a479fa14,Edm.String,UserNames|Advert1;,Edm.String,2,Edm.String,2017-06-29T16:51:05.450Z,Edm.DateTime,2017-06-29T16:51:05.450Z,Edm.DateTime
069289bdf552c586_f83f579c2a9846eaac65c546c706cd67|b31a9c00-ebd2-4182-8ee4-1c633e79ac07,6b846ac5-6071-4525-b794-77f974b30d11,2017-06-29T16:51:16.559Z,b31a9c00-ebd2-4182-8ee4-1c633e79ac07,Edm.String,6b846ac5-6071-4525-b794-77f974b30d11,Edm.String,UserNames|Advert1;,Edm.String,2,Edm.String,2017-06-29T16:51:16.119Z,Edm.DateTime,2017-06-29T16:51:16.119Z,Edm.DateTime
102815873e91302e_f83f579c2a9846eaac65c546c706cd67|df14234d-a98c-46d6-9099-3eb792ab18f4,ffb25bd0-9f2d-4883-83ae-445157556587,2016-12-20T06:54:25.419Z,df14234d-a98c-46d6-9099-3eb792ab18f4,Edm.String,ffb25bd0-9f2d-4883-83ae-445157556587,Edm.String,UserNames|Advert1;,Edm.String,5,Edm.String,2016-12-20T06:54:20.353Z,Edm.DateTime,2016-12-20T06:54:20.353Z,Edm.DateTime
10b7b23fc6e81484_f83f579c2a9846eaac65c546c706cd67|624e8b50-fc1e-4a5e-a36e-d90bb984e19e,c68a6bba-d5b1-4444-b4d9-79a4dc442a9c,2016-10-21T15:39:31.471Z,624e8b50-fc1e-4a5e-a36e-d90bb984e19e,Edm.String,c68a6bba-d5b1-4444-b4d9-79a4dc442a9c,Edm.String,UserNames|Advert1;,Edm.String,5,Edm.String,2016-10-21T15:39:23.710Z,Edm.DateTime,2016-10-21T15:39:23.710Z,Edm.DateTime
10b7b23fc6e81484_f83f579c2a9846eaac65c546c706cd67|9998b763-3ab7-42c1-8f92-b513643c23d0,25a01806-a309-43b7-bd92-47533db9497c,2016-10-23T08:44:45.765Z,9998b763-3ab7-42c1-8f92-b513643c23d0,Edm.String,25a01806-a309-43b7-bd92-47533db9497c,Edm.String,UserNames|Advert1;,Edm.String,5,Edm.String,2016-10-23T08:44:40.016Z,Edm.DateTime,2016-10-23T08:44:40.016Z,Edm.DateTime
10b7b23fc6e81484_f83f579c2a9846eaac65c546c706cd67|bfe13b3e-7fcd-4d4b-a275-89bf3a584b66,87e8b9d8-9f4a-4ab2-9e8a-75441fd4516c,2016-10-21T15:38:37.225Z,bfe13b3e-7fcd-4d4b-a275-89bf3a584b66,Edm.String,87e8b9d8-9f4a-4ab2-9e8a-75441fd4516c,Edm.String,UserNames|Advert1;,Edm.String,5,Edm.String,2016-10-21T15:38:30.374Z,Edm.DateTime,2016-10-21T15:38:30.374Z,Edm.DateTime
110f6b0fe69c666b_f83f579c2a9846eaac65c546c706cd67|c62ed68e-9ff4-402c-93fc-dd6289224ec8,8261ea72-6b30-4807-8464-03bfe4f1874a,2017-02-09T15:07:24.757Z,c62ed68e-9ff4-402c-93fc-dd6289224ec8,Edm.String,8261ea72-6b30-4807-8464-03bfe4f1874a,Edm.String,UserNames|Advert1;,Edm.String,5,Edm.String,2017-02-09T15:07:12.951Z,Edm.DateTime,2017-02-09T15:07:12.951Z,Edm.DateTime
110f6b0fe69c666b_f83f579c2a9846eaac65c546c706cd67|f89bfcce-25ad-49e4-aa14-bf6f351b880f,401d004b-cc5f-4ecd-9d90-82b02dd4172c,2017-02-10T06:45:52.463Z,f89bfcce-25ad-49e4-aa14-bf6f351b880f,Edm.String,401d004b-cc5f-4ecd-9d90-82b02dd4172c,Edm.String,UserNames|Advert1;,Edm.String,5,Edm.String,2017-02-10T06:41:33.750Z,Edm.DateTime,2017-02-10T06:41:33.750Z,Edm.DateTime
